NOC,S_Gold,S_Silver,S_Bronze,S_Total,W_Gold,W_Silver,W_Bronze,W_Total,T_Gold,T_Silver,T_Bronze,T_Total
USA,1122,891,792,2805,113,122,95,330,1235,1013,887,3135
URS,395,319,296,1010,78,57,59,194,473,376,355,1204
GER,255,286,304,845,112,104,70,286,367,390,374,1131
GBR,314,356,349,1019,12,5,17,34,326,361,366,1053
FRA,262,292,323,877,41,42,55,138,303,334,378,1015
ITA,241,214,233,688,42,43,56,141,283,257,289,829
CHN,303,226,198,727,22,32,23,77,325,258,221,804
SWE,155,186,191,532,65,51,60,176,220,237,251,708
JPN,189,162,193,544,17,28,31,76,206,190,224,620
AUS,180,189,228,597,6,7,6,19,186,196,234,616
CAN,80,119,156,355,77,72,76,225,157,191,232,580
NOR,64,55,53,172,148,134,123,405,212,189,176,577
HUN,190,168,186,544,2,2,6,10,192,170,192,554
RUS,148,130,153,431,46,39,35,120,194,169,188,551
GDR,153,129,127,409,39,36,35,110,192,165,162,519
NED,113,114,139,366,53,49,45,147,166,163,184,513
FIN,106,87,121,314,45,65,65,175,151,152,186,489
KOR,109,100,110,319,33,30,16,79,142,130,126,398
SUI,61,89,79,229,63,47,58,168,124,136,137,397
AUT,27,40,49,116,71,88,91,250,98,128,140,366
POL,76,95,145,316,7,7,9,23,83,102,154,339
ROU,93,101,123,317,0,0,1,1,93,101,124,318
CUB,86,70,88,244,0,0,0,0,86,70,88,244
FRG,56,67,81,204,11,15,13,39,67,82,94,243
BUL,57,89,85,231,1,2,3,6,58,91,88,237
DEN,53,87,89,229,0,1,0,1,53,88,89,230
ESP,53,76,58,187,1,1,3,5,54,77,61,192
BEL,51,59,73,183,2,2,4,8,53,61,77,191
TCH,49,50,47,146,2,8,15,25,51,58,62,171
BRA,40,49,81,170,0,0,0,0,40,49,81,170
GRE,45,60,60,165,0,0,0,0,45,60,60,165
NZL,63,40,54,157,2,2,2,6,65,42,56,163
UKR,38,41,72,151,3,2,4,9,41,43,76,160
EUN,45,38,29,112,9,6,8,23,54,44,37,135
KEN,39,44,41,124,0,0,0,0,39,44,41,124
ROC,20,28,23,71,8,18,23,49,28,46,46,120
TUR,41,29,41,111,0,0,0,0,41,29,41,111
CZE,22,22,28,72,10,11,13,34,32,33,41,106
BLR,13,30,42,85,8,7,5,20,21,37,47,105
RSA,28,37,32,97,0,0,0,0,28,37,32,97
JAM,27,39,28,94,0,0,0,0,27,39,28,94
IRI,27,29,32,88,0,0,0,0,27,29,32,88
YUG,26,29,28,83,0,3,1,4,26,32,29,87
KAZ,15,24,39,78,1,3,4,8,16,27,43,86
ARG,22,27,31,80,0,0,0,0,22,27,31,80
MEX,13,27,37,77,0,0,0,0,13,27,37,77
PRK,16,18,27,61,0,1,1,2,16,19,28,63
ETH,24,15,23,62,0,0,0,0,24,15,23,62
CRO,16,15,17,48,4,6,1,11,20,21,18,59
AZE,9,16,31,56,0,0,0,0,9,16,31,56
SLO,10,10,11,31,4,8,12,24,14,18,23,55
UZB,18,8,23,49,1,0,0,1,19,8,23,50
GEO,13,15,19,47,0,0,0,0,13,15,19,47
IRL,15,11,19,45,0,0,0,0,15,11,19,45
EST,10,9,17,36,4,2,2,8,14,11,19,44
SVK,10,14,9,33,4,4,2,10,14,18,11,43
TPE,9,11,23,43,0,0,0,0,9,11,23,43
THA,11,11,19,41,0,0,0,0,11,11,19,41
IND,10,10,21,41,0,0,0,0,10,10,21,41
INA,10,14,15,39,0,0,0,0,10,14,15,39
EGY,9,11,19,39,0,0,0,0,9,11,19,39
COL,5,16,17,38,0,0,0,0,5,16,17,38
POR,6,11,15,32,0,0,0,0,6,11,15,32
LAT,4,11,6,21,1,3,6,10,5,14,12,31
MGL,2,12,17,31,0,0,0,0,2,12,17,31
LTU,6,9,15,30,0,0,0,0,6,9,15,30
SRB,9,8,12,29,0,0,0,0,9,8,12,29
NGR,3,11,13,27,0,0,0,0,3,11,13,27
MAR,8,5,13,26,0,0,0,0,8,5,13,26
ARM,2,11,9,22,0,0,0,0,2,11,9,22
ALG,7,4,9,20,0,0,0,0,7,4,9,20
ISR,4,6,10,20,0,0,0,0,4,6,10,20
VEN,3,7,9,19,0,0,0,0,3,7,9,19
TTO,3,5,11,19,0,0,0,0,3,5,11,19
TUN,6,4,8,18,0,0,0,0,6,4,8,18
PHI,3,5,10,18,0,0,0,0,3,5,10,18
BAH,8,2,6,16,0,0,0,0,8,2,6,16
DOM,4,5,6,15,0,0,0,0,4,5,6,15
CHI,3,8,4,15,0,0,0,0,3,8,4,15
MAS,0,8,7,15,0,0,0,0,0,8,7,15
UGA,5,5,3,13,0,0,0,0,5,5,3,13
HKG,4,3,6,13,0,0,0,0,4,3,6,13
KGZ,0,5,8,13,0,0,0,0,0,5,8,13
ANZ,3,4,5,12,0,0,0,0,3,4,5,12
PUR,2,2,8,12,0,0,0,0,2,2,8,12
PAK,4,3,4,11,0,0,0,0,4,3,4,11
ECU,4,4,2,10,0,0,0,0,4,4,2,10
MIX,3,2,4,9,1,0,0,1,4,2,4,10
LIE,0,0,0,0,2,2,6,10,2,2,6,10
URU,2,2,6,10,0,0,0,0,2,2,6,10
MDA,0,3,7,10,0,0,0,0,0,3,7,10
SCG,2,4,3,9,0,0,0,0,2,4,3,9
QAT,2,2,5,9,0,0,0,0,2,2,5,9
BRN,4,3,1,8,0,0,0,0,4,3,1,8
ZIM,3,4,1,8,0,0,0,0,3,4,1,8
LUX,3,2,0,5,0,2,0,2,3,4,0,7
TJK,1,1,5,7,0,0,0,0,1,1,5,7
CMR,3,1,2,6,0,0,0,0,3,1,2,6
SGP,1,2,3,6,0,0,0,0,1,2,3,6
BOH,0,1,5,6,0,0,0,0,0,1,5,6
KOS,3,1,1,5,0,0,0,0,3,1,1,5
AIN,1,3,1,5,0,0,0,0,1,3,1,5
PER,1,3,1,5,0,0,0,0,1,3,1,5
VIE,1,3,1,5,0,0,0,0,1,3,1,5
CIV,1,1,3,5,0,0,0,0,1,1,3,5
GRN,1,1,3,5,0,0,0,0,1,1,3,5
IOA,1,1,3,5,0,0,0,0,1,1,3,5
NAM,0,5,0,5,0,0,0,0,0,5,0,5
GHA,0,1,4,5,0,0,0,0,0,1,4,5
FIJ,2,1,1,4,0,0,0,0,2,1,1,4
BOT,1,2,1,4,0,0,0,0,1,2,1,4
JOR,1,2,1,4,0,0,0,0,1,2,1,4
CRC,1,1,2,4,0,0,0,0,1,1,2,4
PAN,1,1,2,4,0,0,0,0,1,1,2,4
SYR,1,1,2,4,0,0,0,0,1,1,2,4
ISL,0,2,2,4,0,0,0,0,0,2,2,4
KSA,0,2,2,4,0,0,0,0,0,2,2,4
LBN,0,2,2,4,0,0,0,0,0,2,2,4
GUA,1,1,1,3,0,0,0,0,1,1,1,3
SMR,0,1,2,3,0,0,0,0,0,1,2,3
ZAM,0,1,2,3,0,0,0,0,0,1,2,3
KUW,0,0,3,3,0,0,0,0,0,0,3,3
BDI,1,1,0,2,0,0,0,0,1,1,0,2
LCA,1,1,0,2,0,0,0,0,1,1,0,2
BER,1,0,1,2,0,0,0,0,1,0,1,2
MOZ,1,0,1,2,0,0,0,0,1,0,1,2
SUR,1,0,1,2,0,0,0,0,1,0,1,2
UAE,1,0,1,2,0,0,0,0,1,0,1,2
CYP,0,2,0,2,0,0,0,0,0,2,0,2
SRI,0,2,0,2,0,0,0,0,0,2,0,2
TAN,0,2,0,2,0,0,0,0,0,2,0,2
HAI,0,1,1,2,0,0,0,0,0,1,1,2
MKD,0,1,1,2,0,0,0,0,0,1,1,2
NIG,0,1,1,2,0,0,0,0,0,1,1,2
UAR,0,1,1,2,0,0,0,0,0,1,1,2
AFG,0,0,2,2,0,0,0,0,0,0,2,2
ALB,0,0,2,2,0,0,0,0,0,0,2,2
WIF,0,0,2,2,0,0,0,0,0,0,2,2
DMA,1,0,0,1,0,0,0,0,1,0,0,1
AHO,0,1,0,1,0,0,0,0,0,1,0,1
GAB,0,1,0,1,0,0,0,0,0,1,0,1
ISV,0,1,0,1,0,0,0,0,0,1,0,1
MNE,0,1,0,1,0,0,0,0,0,1,0,1
PAR,0,1,0,1,0,0,0,0,0,1,0,1
SAM,0,1,0,1,0,0,0,0,0,1,0,1
SEN,0,1,0,1,0,0,0,0,0,1,0,1
SUD,0,1,0,1,0,0,0,0,0,1,0,1
TGA,0,1,0,1,0,0,0,0,0,1,0,1
TKM,0,1,0,1,0,0,0,0,0,1,0,1
BAR,0,0,1,1,0,0,0,0,0,0,1,1
BUR,0,0,1,1,0,0,0,0,0,0,1,1
CPV,0,0,1,1,0,0,0,0,0,0,1,1
DJI,0,0,1,1,0,0,0,0,0,0,1,1
EOR,0,0,1,1,0,0,0,0,0,0,1,1
ERI,0,0,1,1,0,0,0,0,0,0,1,1
GUY,0,0,1,1,0,0,0,0,0,0,1,1
IRQ,0,0,1,1,0,0,0,0,0,0,1,1
MON,0,0,1,1,0,0,0,0,0,0,1,1
MRI,0,0,1,1,0,0,0,0,0,0,1,1
TOG,0,0,1,1,0,0,0,0,0,0,1,1
